date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
1996-12-24,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,126955.00000000001,100.0,67.03894389438945
1996-12-24,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1232115.0,99.86870897155362,86.27501094091905
1996-01-19,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,866857.5,99.79661016949153,94.03200000000001
1996-01-19,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,101094.99999999999,100.0,98.62926829268291
1996-01-19,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,204482.50000000003,100.0,95.94486803519064
1996-01-19,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,167202.5,100.0,88.29174917491748
1996-01-19,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1340652.5,99.86870897155362,93.87501094091904
1996-01-08,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,867482.5000000001,99.79661016949153,94.0997966101695
1996-01-08,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100919.99999999999,100.0,98.45853658536583
1996-01-08,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,201980.0,100.0,94.77067448680351
1996-01-08,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,164294.99999999997,100.0,86.75643564356434
1996-01-08,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1335785.0000000002,99.86870897155362,93.53417943107223
1996-01-05,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,877145.0,99.79661016949153,95.14793220338983
1996-01-05,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100412.5,100.0,97.96341463414635
1996-01-05,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,201867.50000000003,100.0,94.71788856304987
1996-01-05,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,160502.49999999997,100.0,84.75379537953795
1996-01-05,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1341047.5,99.86870897155362,93.90266958424507
1996-01-21,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,858459.9999999999,99.79661016949153,93.1210847457627
1996-01-21,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100240.00000000001,100.0,97.79512195121953
1996-01-21,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,199092.5,100.0,93.4158357771261
1996-01-21,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,143107.5,100.0,75.56831683168316
1996-01-21,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1301862.5,99.86870897155362,91.15886214442013
1996-01-12,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,883669.9999999999,99.79661016949153,95.85572881355931
1996-01-12,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100977.50000000001,100.0,98.51463414634148
1996-01-12,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,201257.50000000003,100.0,94.43167155425222
1996-01-12,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,169502.50000000003,100.0,89.50627062706272
1996-01-12,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1356512.5,99.86870897155362,94.9855579868709
1996-01-28,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,888980.0,99.79661016949153,96.43172881355933
1996-01-28,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100715.0,100.0,98.25853658536585
1996-01-28,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,205655.0,100.0,96.49501466275659
1996-01-28,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,166680.0,100.0,88.01584158415842
